curve_num,n_points,n_unique_time,time_min,time_max,pop_min,pop_max,PopBio_units,has_nonpositive,has_decline
1,22,22,-0.9237875288686148,479.4457274826789,0.00532717474980693,0.17663433410315502,OD_595,FALSE,TRUE
2,15,15,-0.27906392729897805,143.846101528207,0.01061007957559749,0.14323607427055798,OD_595,FALSE,TRUE
3,15,15,0.558882235528927,143.912175648703,0.01336898395721949,0.13903743315508005,OD_595,FALSE,TRUE
4,29,29,-1.26812375606164,671.950310252824,0.01249637987023,0.0539932342085316,OD_595,FALSE,TRUE
5,22,22,-1.13686837721616e-13,480.369515011547,0.00802463433410305,0.24789530408006105,OD_595,FALSE,TRUE
6,14,14,-0.276134122288056,143.86587771203202,0.0159203511580579,0.19803389156582404,OD_595,FALSE,TRUE
7,16,16,0.00445632798576411,144.01143790849704,0.01604278074866269,0.441176470588235,OD_595,FALSE,FALSE
8,29,29,-2.2737367544323198e-13,671.805273833671,0.0175953079178884,0.13020527859237505,OD_595,FALSE,FALSE
9,25,25,1.84757505773666,480.369515011547,0.00274056966897596,0.226586605080831,OD_595,FALSE,TRUE
10,15,15,-0.276134122287999,143.86587771203202,0.0053102715824611,0.409780316942121,OD_595,FALSE,TRUE
11,16,16,0.28149138443259897,143.91117052881697,0.0133689839572189,0.36631016042780706,OD_595,FALSE,TRUE
12,29,29,-3.4106051316484794e-13,670.5882352941171,0.00879765395894438,0.11085043988269798,OD_595,FALSE,FALSE
13,11,11,11.3471678467513,194.04377312512895,0.97670498330193,3566.34452917529,CFU,FALSE,TRUE
14,10,10,23.868312757201696,165.43209876543202,0.9793821813312396,819.2041607667641,CFU,FALSE,FALSE
15,12,12,24.521774521774297,193.96200861717904,1.0043409693753902,428.555537731446,CFU,FALSE,TRUE
16,9,9,11.6746649624872,104.958709482186,1.7960216078595197,3917.9932132229305,CFU,FALSE,FALSE
17,9,9,20.5761316872428,101.646090534979,1.5488302986341296,1364.78201650726,CFU,FALSE,FALSE
18,8,8,21.223667775391696,102.439546405063,1.4196264727828696,534.0094946226191,CFU,FALSE,FALSE
19,10,10,3.4872370690899905,49.968434852462096,1.4381302253279598,1457.57227202074,CFU,FALSE,FALSE
20,8,8,11.522633744856,47.325102880658406,1.3956124250860902,457.14471326891,CFU,FALSE,FALSE
21,8,8,3.0840806702875905,47.1962584031545,1.31604750701147,425.239720821317,CFU,FALSE,FALSE
22,9,9,47.80461462349279,547.6529356781731,1.29504408649357,771.6116035580791,CFU,FALSE,TRUE
23,10,10,48.14814814814821,547.7366255144028,1.02105186214511,371.17240815363806,CFU,FALSE,FALSE
24,10,10,48.43304843304799,555.2860932171222,1.2385342800046295,397.7166157175689,CFU,FALSE,FALSE
25,6,6,141.807983165255,501.557716638347,1.32368149647086,11799.7133026411,CFU,FALSE,TRUE
26,7,7,71.604938271605,500.24691358024694,1.25232271619186,474.613125718313,CFU,FALSE,TRUE
