"Feeding.type","Lifestage","n","intercept","slope","r.squared","f.statistic","df1","df2","p.value"
"insectivorous","larva/juvenile",32,1.56360275195807,0.384249046154571,0.125577629410638,4.3083628793485,1,30,0.0465944025225441
"piscivorous","adult",17700,3.04230934042686,0.285409207488912,0.0762549666793182,1460.96633985589,1,17698,3.215278522256e-307
"piscivorous","juvenile",3029,3.78759705139129,0.223480124508157,0.0715818776775036,233.384440178493,1,3027,8.16786748029645e-51
"piscivorous","larva/juvenile",11,2.15727970672255,0.652630804441673,0.502262057547569,9.08180416316188,1,9,0.0146301686798565
"piscivorous","postlarva",33,-1.09766442150068,0.106773528674381,0.038969869305227,1.25705314524184,1,31,0.270820006991041
"piscivorous","postlarva/juvenile",2,NA,NA,NA,NA,NA,NA,NA
"planktivorous","adult",158,3.87815102648538,0.802761886290888,0.224199133583999,45.0825287172978,1,156,3.31771921399374e-10
"planktivorous","juvenile",2,NA,NA,NA,NA,NA,NA,NA
"planktivorous","larva",1025,0.526058856598801,0.431885598103509,0.184732831348563,231.803381438972,1,1023,2.46433635713811e-47
"planktivorous","larva/juvenile",120,2.20757509090594,0.537539976546298,0.2383099678989,36.9186611704769,1,118,1.55071505486177e-08
"planktivorous","postlarva/juvenile",264,2.95889440474228,0.675479706794875,0.231238785388309,78.8080363840142,1,262,1.10590667174247e-16
"predacious","adult",7931,3.35636234035414,0.321994355406017,0.146129065719436,1356.94671825976,1,7929,2.36661210566138e-274
"predacious","juvenile",2102,3.56638090670251,1.06701767698148,0.764901236206758,6832.41617317414,1,2100,0
"predacious","larva",1212,0.621931166248409,0.323614384510348,0.114146688218641,155.914631584789,1,1210,9.61358023701518e-34
"predacious","larva/juvenile",487,3.62003726076664,0.88497494533547,0.4903774538179,466.684739290751,1,485,5.25353664045594e-73
"predacious","postlarva",72,-0.700843567967422,0.15403834606651,0.109207422360889,8.58170550266892,1,70,0.00458060708606847
"predacious","postlarva/juvenile",590,0.846289447673092,0.232955400394707,0.144074981970457,98.9760640408158,1,588,1.17383192983127e-21
"predacious/piscivorous","adult",161,2.07757273211364,0.531028610582127,0.341154098535761,82.3310906945517,1,159,4.19117303972455e-16
